0.625,0.942,0.991,0.641,0.496,0.912,0.198,0.990,0.041,0.198,0.769,0.625,0.718,0.823,0.182,0.665,0.297,0.576,0.993,0.702,0.219,0.367,0.107,0.874,0.500,0.573,0.711,0.594,0.693,0.812,0.749,0.877,0.942,0.355,0.975,0.302,0.189,0.507,0.962,0.183
0.358,0.108,0.319,0.231,0.311,0.782,0.410,0.038,0.675,0.038,0.839,0.095,0.803,0.287,0.640,0.292,0.890,0.234,0.769,0.158,0.015,0.428,0.878,0.183,0.266,0.326,0.866,0.171,0.839,0.204,0.539,0.954,0.346,0.831,0.382,0.150,0.394,0.626,0.115,0.618
0.388,0.544,0.125,0.353,0.401,0.079,0.298,0.387,0.065,0.465,0.386,0.361,0.546,0.695,0.894,0.160,0.311,0.902,0.504,0.990,0.313,0.861,0.906,0.722,0.993,0.820,0.129,0.042,0.878,0.944,0.126,0.339,0.799,0.137,0.555,0.418,0.436,0.886,0.037,0.812
0.305,0.452,0.058,0.491,0.716,0.408,0.562,0.109,0.707,0.876,0.281,0.618,0.710,0.817,0.743,0.898,0.286,0.836,0.520,0.453,0.810,0.463,0.126,0.501,0.881,0.762,0.633,0.953,0.406,0.627,0.512,0.029,0.768,0.036,0.189,0.442,0.935,0.990,0.397,0.727
0.303,0.735,0.881,0.524,0.563,0.346,0.212,0.793,0.053,0.809,0.943,0.225,0.478,0.789,0.620,0.877,0.976,0.546,0.124,0.309,0.185,0.045,0.006,0.197,0.253,0.569,0.638,0.733,0.305,0.682,0.708,0.407,0.486,0.626,0.522,0.615,0.851,0.529,0.137,0.621
0.299,0.130,0.133,0.508,0.482,0.499,0.380,0.205,0.711,0.347,0.454,0.947,0.812,0.413,0.629,0.493,0.207,0.868,0.153,0.453,0.982,0.953,0.364,0.023,0.508,0.213,0.671,0.454,0.844,0.288,0.466,0.116,0.035,0.005,0.852,0.849,0.830,0.809,0.297,0.347
0.601,0.817,0.386,0.552,0.046,0.313,0.090,0.723,0.263,0.054,0.409,0.742,0.817,0.073,0.070,0.021,0.176,0.743,0.169,0.632,0.020,0.546,0.807,0.526,0.593,0.392,0.013,0.504,0.473,0.209,0.695,0.899,0.640,0.552,0.897,0.936,0.380,0.944,0.492,0.627
0.492,0.448,0.140,0.246,0.797,0.531,0.203,0.164,0.859,0.753,0.822,0.011,0.115,0.606,0.476,0.485,0.177,0.049,0.617,0.022,0.997,0.432,0.906,0.472,0.621,0.771,0.910,0.747,0.218,0.707,0.445,0.559,0.203,0.384,0.559,0.714,0.382,0.566,0.022,0.936
0.716,0.126,0.858,0.022,0.856,0.101,0.863,0.849,0.790,0.723,0.831,0.359,0.661,0.071,0.269,0.498,0.181,0.725,0.800,0.626,0.696,0.049,0.700,0.778,0.944,0.632,0.801,0.849,0.456,0.311,0.980,0.543,0.797,0.380,0.090,0.307,0.631,0.698,0.525,0.622
0.814,0.236,0.741,0.046,0.296,0.992,0.531,0.424,0.775,0.275,0.967,0.020,0.383,0.679,0.341,0.313,0.421,0.308,0.257,0.407,0.108,0.007,0.111,0.265,0.846,0.642,0.663,0.791,0.902,0.604,0.148,0.352,0.129,0.828,0.117,0.163,0.602,0.475,0.199,0.494
0.604,0.224,0.005,0.712,0.282,0.958,0.830,0.342,0.512,0.108,0.993,0.778,0.606,0.498,0.941,0.792,0.767,0.991,0.712,0.468,0.040,0.701,0.814,0.431,0.286,0.700,0.401,0.119,0.122,0.861,0.506,0.591,0.197,0.897,0.740,0.355,0.480,0.110,0.121,0.166
